user_id,date,rr_count,mean_rr,mean_hr
00000000-0000-0000-0000-000000000001,2025-10-02,249,840.56,71.38
00000000-0000-0000-0000-000000000001,2025-10-03,243,815.85,73.54
00000000-0000-0000-0000-000000000001,2025-10-04,250,822.47,72.95
00000000-0000-0000-0000-000000000001,2025-10-05,285,848.04,70.75
00000000-0000-0000-0000-000000000001,2025-10-06,257,849.76,70.61
00000000-0000-0000-0000-000000000001,2025-10-07,223,840.52,71.38
00000000-0000-0000-0000-000000000001,2025-10-08,232,830.4,72.25
00000000-0000-0000-0000-000000000001,2025-10-09,200,853.02,70.34
00000000-0000-0000-0000-000000000001,2025-10-10,240,843.68,71.12
00000000-0000-0000-0000-000000000001,2025-10-11,245,847.55,70.79
00000000-0000-0000-0000-000000000001,2025-10-12,216,855.06,70.17
00000000-0000-0000-0000-000000000001,2025-10-13,226,835.04,71.85
00000000-0000-0000-0000-000000000001,2025-10-14,235,831.85,72.13
00000000-0000-0000-0000-000000000001,2025-10-15,230,852.27,70.4
00000000-0000-0000-0000-000000000001,2025-10-16,297,840.54,71.38
00000000-0000-0000-0000-000000000001,2025-10-17,297,829.77,72.31
00000000-0000-0000-0000-000000000001,2025-10-18,292,831.07,72.2
00000000-0000-0000-0000-000000000001,2025-10-19,250,825.8,72.66
00000000-0000-0000-0000-000000000001,2025-10-20,211,860.26,69.75
00000000-0000-0000-0000-000000000001,2025-10-21,278,829.74,72.31
00000000-0000-0000-0000-000000000001,2025-10-22,269,877.41,68.38
00000000-0000-0000-0000-000000000001,2025-10-23,262,865.62,69.31
00000000-0000-0000-0000-000000000001,2025-10-24,267,840.52,71.38
00000000-0000-0000-0000-000000000001,2025-10-25,284,824.21,72.8
00000000-0000-0000-0000-000000000001,2025-10-26,278,824.6,72.76
00000000-0000-0000-0000-000000000001,2025-10-27,281,832.72,72.05
00000000-0000-0000-0000-000000000001,2025-10-28,246,844.75,71.03
00000000-0000-0000-0000-000000000001,2025-10-29,233,823.06,72.9
00000000-0000-0000-0000-000000000001,2025-10-30,296,843.14,71.16
00000000-0000-0000-0000-000000000001,2025-10-31,221,841.07,71.34
00000000-0000-0000-0000-000000000001,2025-11-01,264,820.76,73.1
00000000-0000-0000-0000-000000000001,2025-11-02,211,797.74,75.21
00000000-0000-0000-0000-000000000001,2025-11-03,285,815.68,73.56
00000000-0000-0000-0000-000000000001,2025-11-04,266,824.04,72.81
00000000-0000-0000-0000-000000000001,2025-11-05,244,813.11,73.79
00000000-0000-0000-0000-000000000001,2025-11-06,262,838.82,71.53
00000000-0000-0000-0000-000000000001,2025-11-07,222,837.29,71.66
00000000-0000-0000-0000-000000000001,2025-11-08,296,837.85,71.61
00000000-0000-0000-0000-000000000001,2025-11-09,236,849.22,70.65
00000000-0000-0000-0000-000000000001,2025-11-10,216,856.09,70.09
00000000-0000-0000-0000-000000000001,2025-11-11,235,847.32,70.81
00000000-0000-0000-0000-000000000001,2025-11-12,263,839.37,71.48
00000000-0000-0000-0000-000000000001,2025-11-13,264,838.79,71.53
00000000-0000-0000-0000-000000000001,2025-11-14,257,828.8,72.39
00000000-0000-0000-0000-000000000001,2025-11-15,211,837.17,71.67
00000000-0000-0000-0000-000000000001,2025-11-16,227,830.07,72.28
00000000-0000-0000-0000-000000000001,2025-11-17,295,848.5,70.71
00000000-0000-0000-0000-000000000001,2025-11-18,271,853.64,70.29
00000000-0000-0000-0000-000000000001,2025-11-19,211,850.92,70.51
00000000-0000-0000-0000-000000000001,2025-11-20,221,853.72,70.28
00000000-0000-0000-0000-000000000001,2025-11-21,239,837.04,71.68
00000000-0000-0000-0000-000000000001,2025-11-22,248,857.12,70.0
00000000-0000-0000-0000-000000000001,2025-11-23,255,838.11,71.59
00000000-0000-0000-0000-000000000001,2025-11-24,289,830.56,72.24
00000000-0000-0000-0000-000000000001,2025-11-25,215,845.94,70.93
00000000-0000-0000-0000-000000000001,2025-11-26,215,839.37,71.48
00000000-0000-0000-0000-000000000001,2025-11-27,220,840.69,71.37
00000000-0000-0000-0000-000000000001,2025-11-28,217,837.83,71.61
00000000-0000-0000-0000-000000000001,2025-11-29,219,850.16,70.57
00000000-0000-0000-0000-000000000001,2025-11-30,258,828.92,72.38
00000000-0000-0000-0000-000000000001,2025-12-01,285,822.16,72.98
00000000-0000-0000-0000-000000000001,2025-12-02,297,834.62,71.89
00000000-0000-0000-0000-000000000001,2025-12-03,230,825.78,72.66
00000000-0000-0000-0000-000000000001,2025-12-04,231,834.9,71.87
00000000-0000-0000-0000-000000000001,2025-12-05,205,834.83,71.87
00000000-0000-0000-0000-000000000001,2025-12-06,270,840.23,71.41
00000000-0000-0000-0000-000000000001,2025-12-07,234,837.22,71.67
00000000-0000-0000-0000-000000000001,2025-12-08,239,805.67,74.47
00000000-0000-0000-0000-000000000001,2025-12-09,254,822.02,72.99
00000000-0000-0000-0000-000000000001,2025-12-10,238,822.55,72.94
00000000-0000-0000-0000-000000000001,2025-12-11,264,816.04,73.53
00000000-0000-0000-0000-000000000001,2025-12-12,220,829.37,72.34
00000000-0000-0000-0000-000000000001,2025-12-13,250,803.84,74.64
00000000-0000-0000-0000-000000000001,2025-12-14,268,811.46,73.94
00000000-0000-0000-0000-000000000001,2025-12-15,255,848.49,70.71
00000000-0000-0000-0000-000000000001,2025-12-16,268,822.17,72.98
00000000-0000-0000-0000-000000000001,2025-12-17,233,812.72,73.83
00000000-0000-0000-0000-000000000001,2025-12-18,212,846.42,70.89
00000000-0000-0000-0000-000000000001,2025-12-19,272,828.44,72.43
00000000-0000-0000-0000-000000000001,2025-12-20,291,839.68,71.46
00000000-0000-0000-0000-000000000001,2025-12-21,297,839.95,71.43
00000000-0000-0000-0000-000000000001,2025-12-22,247,856.3,70.07
00000000-0000-0000-0000-000000000001,2025-12-23,296,860.2,69.75
00000000-0000-0000-0000-000000000001,2025-12-24,255,853.34,70.31
00000000-0000-0000-0000-000000000001,2025-12-25,262,828.2,72.45
00000000-0000-0000-0000-000000000001,2025-12-26,253,839.25,71.49
00000000-0000-0000-0000-000000000001,2025-12-27,288,847.65,70.78
00000000-0000-0000-0000-000000000001,2025-12-28,251,839.64,71.46
00000000-0000-0000-0000-000000000001,2025-12-29,236,832.04,72.11
00000000-0000-0000-0000-000000000002,2025-09-01,206,810.7,74.01
00000000-0000-0000-0000-000000000002,2025-09-02,232,799.95,75.01
00000000-0000-0000-0000-000000000002,2025-09-03,291,791.72,75.78
00000000-0000-0000-0000-000000000002,2025-09-04,261,798.04,75.18
00000000-0000-0000-0000-000000000002,2025-09-05,213,803.11,74.71
00000000-0000-0000-0000-000000000002,2025-09-06,224,814.53,73.66
00000000-0000-0000-0000-000000000002,2025-09-07,241,789.74,75.97
00000000-0000-0000-0000-000000000002,2025-09-08,246,817.46,73.4
00000000-0000-0000-0000-000000000002,2025-09-09,267,805.92,74.45
00000000-0000-0000-0000-000000000002,2025-09-10,266,811.59,73.93
00000000-0000-0000-0000-000000000002,2025-09-11,300,813.16,73.79
00000000-0000-0000-0000-000000000002,2025-09-12,254,813.02,73.8
00000000-0000-0000-0000-000000000002,2025-09-13,295,795.45,75.43
00000000-0000-0000-0000-000000000002,2025-09-14,216,809.72,74.1
00000000-0000-0000-0000-000000000002,2025-09-15,272,799.78,75.02
00000000-0000-0000-0000-000000000002,2025-09-16,216,790.69,75.88
00000000-0000-0000-0000-000000000002,2025-09-17,293,814.2,73.69
00000000-0000-0000-0000-000000000002,2025-09-18,214,801.4,74.87
00000000-0000-0000-0000-000000000002,2025-09-19,214,799.54,75.04
00000000-0000-0000-0000-000000000002,2025-09-20,293,803.29,74.69
00000000-0000-0000-0000-000000000002,2025-09-21,254,818.39,73.31
00000000-0000-0000-0000-000000000002,2025-09-22,255,794.1,75.56
00000000-0000-0000-0000-000000000002,2025-09-23,212,802.68,74.75
00000000-0000-0000-0000-000000000002,2025-09-24,290,809.97,74.08
00000000-0000-0000-0000-000000000002,2025-09-25,288,795.74,75.4
00000000-0000-0000-0000-000000000002,2025-09-26,251,804.3,74.6
00000000-0000-0000-0000-000000000002,2025-09-27,204,810.38,74.04
00000000-0000-0000-0000-000000000002,2025-09-28,267,804.55,74.58
00000000-0000-0000-0000-000000000002,2025-09-29,252,811.11,73.97
00000000-0000-0000-0000-000000000002,2025-09-30,219,812.89,73.81
00000000-0000-0000-0000-000000000002,2025-10-01,216,812.01,73.89
00000000-0000-0000-0000-000000000002,2025-10-02,234,817.67,73.38
00000000-0000-0000-0000-000000000002,2025-10-03,282,814.79,73.64
00000000-0000-0000-0000-000000000002,2025-10-04,239,829.44,72.34
00000000-0000-0000-0000-000000000002,2025-10-05,282,822.73,72.93
00000000-0000-0000-0000-000000000002,2025-10-06,266,836.99,71.69
00000000-0000-0000-0000-000000000002,2025-10-07,237,824.29,72.79
00000000-0000-0000-0000-000000000002,2025-10-08,231,814.56,73.66
00000000-0000-0000-0000-000000000002,2025-10-09,293,812.74,73.82
00000000-0000-0000-0000-000000000002,2025-10-10,285,791.17,75.84
00000000-0000-0000-0000-000000000002,2025-10-11,210,825.44,72.69
00000000-0000-0000-0000-000000000002,2025-10-12,231,817.75,73.37
00000000-0000-0000-0000-000000000002,2025-10-13,213,801.44,74.87
00000000-0000-0000-0000-000000000002,2025-10-14,250,802.79,74.74
00000000-0000-0000-0000-000000000002,2025-10-15,298,811.4,73.95
00000000-0000-0000-0000-000000000002,2025-10-16,268,789.72,75.98
00000000-0000-0000-0000-000000000002,2025-10-17,263,816.34,73.5
00000000-0000-0000-0000-000000000002,2025-10-18,205,803.16,74.7
00000000-0000-0000-0000-000000000002,2025-10-19,248,814.28,73.68
00000000-0000-0000-0000-000000000002,2025-10-20,259,816.04,73.53
00000000-0000-0000-0000-000000000002,2025-10-21,221,799.69,75.03
00000000-0000-0000-0000-000000000002,2025-10-22,244,811.9,73.9
00000000-0000-0000-0000-000000000002,2025-10-23,226,800.05,75.0
00000000-0000-0000-0000-000000000002,2025-10-24,261,793.48,75.62
00000000-0000-0000-0000-000000000002,2025-10-25,259,798.8,75.11
00000000-0000-0000-0000-000000000002,2025-10-26,264,810.81,74.0
00000000-0000-0000-0000-000000000002,2025-10-27,241,786.47,76.29
00000000-0000-0000-0000-000000000002,2025-10-28,282,805.17,74.52
00000000-0000-0000-0000-000000000002,2025-10-29,285,802.45,74.77
00000000-0000-0000-0000-000000000002,2025-10-30,288,774.43,77.48
00000000-0000-0000-0000-000000000002,2025-10-31,255,804.81,74.55
00000000-0000-0000-0000-000000000002,2025-11-01,265,782.61,76.67
00000000-0000-0000-0000-000000000002,2025-11-02,273,791.43,75.81
00000000-0000-0000-0000-000000000002,2025-11-03,237,793.33,75.63
00000000-0000-0000-0000-000000000002,2025-11-04,288,786.04,76.33
00000000-0000-0000-0000-000000000002,2025-11-05,252,783.11,76.62
00000000-0000-0000-0000-000000000002,2025-11-06,213,785.4,76.39
00000000-0000-0000-0000-000000000002,2025-11-07,275,791.21,75.83
00000000-0000-0000-0000-000000000002,2025-11-08,289,792.26,75.73
00000000-0000-0000-0000-000000000002,2025-11-09,266,799.31,75.06
00000000-0000-0000-0000-000000000002,2025-11-10,268,794.8,75.49
00000000-0000-0000-0000-000000000002,2025-11-11,290,809.15,74.15
00000000-0000-0000-0000-000000000002,2025-11-12,213,789.46,76.0
00000000-0000-0000-0000-000000000002,2025-11-13,288,787.11,76.23
00000000-0000-0000-0000-000000000002,2025-11-14,220,815.31,73.59
00000000-0000-0000-0000-000000000002,2025-11-15,236,808.87,74.18
00000000-0000-0000-0000-000000000002,2025-11-16,229,797.44,75.24
00000000-0000-0000-0000-000000000002,2025-11-17,266,822.86,72.92
00000000-0000-0000-0000-000000000002,2025-11-18,284,811.92,73.9
00000000-0000-0000-0000-000000000002,2025-11-19,212,830.54,72.24
00000000-0000-0000-0000-000000000002,2025-11-20,289,829.43,72.34
00000000-0000-0000-0000-000000000002,2025-11-21,246,834.75,71.88
00000000-0000-0000-0000-000000000002,2025-11-22,269,809.56,74.11
00000000-0000-0000-0000-000000000002,2025-11-23,210,825.9,72.65
00000000-0000-0000-0000-000000000002,2025-11-24,287,796.42,75.34
00000000-0000-0000-0000-000000000002,2025-11-25,218,804.28,74.6
00000000-0000-0000-0000-000000000002,2025-11-26,286,795.33,75.44
00000000-0000-0000-0000-000000000002,2025-11-27,244,813.86,73.72
00000000-0000-0000-0000-000000000002,2025-11-28,257,797.71,75.22
00000000-0000-0000-0000-000000000002,2025-11-29,240,803.58,74.67
00000000-0000-0000-0000-000000000002,2025-11-30,267,832.5,72.07
00000000-0000-0000-0000-000000000002,2025-12-01,215,804.38,74.59
00000000-0000-0000-0000-000000000002,2025-12-02,203,806.57,74.39
00000000-0000-0000-0000-000000000002,2025-12-03,207,794.52,75.52
00000000-0000-0000-0000-000000000002,2025-12-04,227,793.37,75.63
00000000-0000-0000-0000-000000000002,2025-12-05,298,817.43,73.4
00000000-0000-0000-0000-000000000002,2025-12-06,207,808.93,74.17
00000000-0000-0000-0000-000000000002,2025-12-07,263,814.24,73.69
00000000-0000-0000-0000-000000000002,2025-12-08,253,811.39,73.95
00000000-0000-0000-0000-000000000002,2025-12-09,237,807.43,74.31
00000000-0000-0000-0000-000000000002,2025-12-10,283,803.57,74.67
00000000-0000-0000-0000-000000000002,2025-12-11,292,809.81,74.09
00000000-0000-0000-0000-000000000002,2025-12-12,299,774.11,77.51
00000000-0000-0000-0000-000000000002,2025-12-13,226,769.81,77.94
00000000-0000-0000-0000-000000000002,2025-12-14,222,775.74,77.35
00000000-0000-0000-0000-000000000002,2025-12-15,288,785.0,76.43
00000000-0000-0000-0000-000000000002,2025-12-16,288,792.97,75.66
00000000-0000-0000-0000-000000000002,2025-12-17,210,797.22,75.26
00000000-0000-0000-0000-000000000002,2025-12-18,235,795.3,75.44
00000000-0000-0000-0000-000000000002,2025-12-19,214,794.13,75.55
00000000-0000-0000-0000-000000000002,2025-12-20,281,811.51,73.94
00000000-0000-0000-0000-000000000002,2025-12-21,232,815.37,73.59
00000000-0000-0000-0000-000000000002,2025-12-22,228,803.11,74.71
00000000-0000-0000-0000-000000000002,2025-12-23,219,821.94,73.0
00000000-0000-0000-0000-000000000002,2025-12-24,249,807.91,74.27
00000000-0000-0000-0000-000000000002,2025-12-25,202,811.42,73.94
00000000-0000-0000-0000-000000000002,2025-12-26,293,814.55,73.66
00000000-0000-0000-0000-000000000002,2025-12-27,258,804.33,74.6
00000000-0000-0000-0000-000000000002,2025-12-28,228,823.87,72.83
00000000-0000-0000-0000-000000000002,2025-12-29,244,823.85,72.83
00000000-0000-0000-0000-000000000003,2025-09-01,221,763.13,78.62
00000000-0000-0000-0000-000000000003,2025-09-02,218,763.19,78.62
00000000-0000-0000-0000-000000000003,2025-09-03,251,785.33,76.4
00000000-0000-0000-0000-000000000003,2025-09-04,201,766.05,78.32
00000000-0000-0000-0000-000000000003,2025-09-05,212,771.88,77.73
00000000-0000-0000-0000-000000000003,2025-09-06,266,777.92,77.13
00000000-0000-0000-0000-000000000003,2025-09-07,286,784.12,76.52
00000000-0000-0000-0000-000000000003,2025-09-08,247,772.72,77.65
00000000-0000-0000-0000-000000000003,2025-09-09,208,774.59,77.46
00000000-0000-0000-0000-000000000003,2025-09-10,246,780.23,76.9
00000000-0000-0000-0000-000000000003,2025-09-11,233,790.85,75.87
00000000-0000-0000-0000-000000000003,2025-09-12,263,751.64,79.83
00000000-0000-0000-0000-000000000003,2025-09-13,225,762.7,78.67
00000000-0000-0000-0000-000000000003,2025-09-14,226,774.05,77.51
00000000-0000-0000-0000-000000000003,2025-09-15,260,760.85,78.86
00000000-0000-0000-0000-000000000003,2025-09-16,201,780.26,76.9
00000000-0000-0000-0000-000000000003,2025-09-17,270,792.82,75.68
00000000-0000-0000-0000-000000000003,2025-09-18,252,767.17,78.21
00000000-0000-0000-0000-000000000003,2025-09-19,218,772.43,77.68
00000000-0000-0000-0000-000000000003,2025-09-20,276,773.63,77.56
00000000-0000-0000-0000-000000000003,2025-09-21,262,784.07,76.52
00000000-0000-0000-0000-000000000003,2025-09-22,254,769.82,77.94
00000000-0000-0000-0000-000000000003,2025-09-23,205,771.48,77.77
00000000-0000-0000-0000-000000000003,2025-09-24,245,784.07,76.52
00000000-0000-0000-0000-000000000003,2025-09-25,286,789.21,76.03
00000000-0000-0000-0000-000000000003,2025-09-26,251,787.92,76.15
00000000-0000-0000-0000-000000000003,2025-09-27,249,763.8,78.55
00000000-0000-0000-0000-000000000003,2025-09-28,222,772.67,77.65
00000000-0000-0000-0000-000000000003,2025-09-29,210,751.23,79.87
00000000-0000-0000-0000-000000000003,2025-09-30,242,789.2,76.03
00000000-0000-0000-0000-000000000003,2025-10-01,235,751.73,79.82
00000000-0000-0000-0000-000000000003,2025-10-02,300,785.44,76.39
00000000-0000-0000-0000-000000000003,2025-10-03,274,795.59,75.42
00000000-0000-0000-0000-000000000003,2025-10-04,240,787.8,76.16
00000000-0000-0000-0000-000000000003,2025-10-05,265,777.2,77.2
00000000-0000-0000-0000-000000000003,2025-10-06,251,788.53,76.09
00000000-0000-0000-0000-000000000003,2025-10-07,237,797.07,75.28
00000000-0000-0000-0000-000000000003,2025-10-08,219,779.95,76.93
00000000-0000-0000-0000-000000000003,2025-10-09,272,784.17,76.51
00000000-0000-0000-0000-000000000003,2025-10-10,246,779.51,76.97
00000000-0000-0000-0000-000000000003,2025-10-11,204,774.01,77.52
00000000-0000-0000-0000-000000000003,2025-10-12,212,785.92,76.34
00000000-0000-0000-0000-000000000003,2025-10-13,291,782.17,76.71
00000000-0000-0000-0000-000000000003,2025-10-14,271,778.45,77.08
00000000-0000-0000-0000-000000000003,2025-10-15,222,774.47,77.47
00000000-0000-0000-0000-000000000003,2025-10-16,269,779.87,76.94
00000000-0000-0000-0000-000000000003,2025-10-17,232,788.03,76.14
00000000-0000-0000-0000-000000000003,2025-10-18,278,783.19,76.61
00000000-0000-0000-0000-000000000003,2025-10-19,252,768.77,78.05
00000000-0000-0000-0000-000000000003,2025-10-20,266,795.17,75.46
00000000-0000-0000-0000-000000000003,2025-10-21,269,763.03,78.63
00000000-0000-0000-0000-000000000003,2025-10-22,246,773.84,77.54
00000000-0000-0000-0000-000000000003,2025-10-23,281,768.53,78.07
00000000-0000-0000-0000-000000000003,2025-10-24,218,762.13,78.73
00000000-0000-0000-0000-000000000003,2025-10-25,268,763.53,78.58
00000000-0000-0000-0000-000000000003,2025-10-26,206,760.94,78.85
00000000-0000-0000-0000-000000000003,2025-10-27,222,776.81,77.24
00000000-0000-0000-0000-000000000003,2025-10-28,288,762.67,78.67
00000000-0000-0000-0000-000000000003,2025-10-29,241,777.17,77.2
00000000-0000-0000-0000-000000000003,2025-10-30,298,756.78,79.28
00000000-0000-0000-0000-000000000003,2025-10-31,242,751.71,79.82
00000000-0000-0000-0000-000000000003,2025-11-01,238,738.84,81.21
00000000-0000-0000-0000-000000000003,2025-11-02,255,743.01,80.75
00000000-0000-0000-0000-000000000003,2025-11-03,258,763.16,78.62
00000000-0000-0000-0000-000000000003,2025-11-04,275,768.33,78.09
00000000-0000-0000-0000-000000000003,2025-11-05,288,766.97,78.23
00000000-0000-0000-0000-000000000003,2025-11-06,253,769.6,77.96
00000000-0000-0000-0000-000000000003,2025-11-07,251,771.56,77.76
00000000-0000-0000-0000-000000000003,2025-11-08,288,787.07,76.23
00000000-0000-0000-0000-000000000003,2025-11-09,217,789.4,76.01
00000000-0000-0000-0000-000000000003,2025-11-10,270,775.14,77.41
00000000-0000-0000-0000-000000000003,2025-11-11,261,774.74,77.45
00000000-0000-0000-0000-000000000003,2025-11-12,242,775.71,77.35
00000000-0000-0000-0000-000000000003,2025-11-13,296,783.92,76.54
00000000-0000-0000-0000-000000000003,2025-11-14,201,780.91,76.83
00000000-0000-0000-0000-000000000003,2025-11-15,250,791.56,75.8
00000000-0000-0000-0000-000000000003,2025-11-16,237,761.31,78.81
00000000-0000-0000-0000-000000000003,2025-11-17,246,790.59,75.89
00000000-0000-0000-0000-000000000003,2025-11-18,247,774.72,77.45
00000000-0000-0000-0000-000000000003,2025-11-19,212,771.56,77.77
00000000-0000-0000-0000-000000000003,2025-11-20,202,763.36,78.6
00000000-0000-0000-0000-000000000003,2025-11-21,276,773.53,77.57
00000000-0000-0000-0000-000000000003,2025-11-22,214,782.04,76.72
00000000-0000-0000-0000-000000000003,2025-11-23,258,771.77,77.74
00000000-0000-0000-0000-000000000003,2025-11-24,215,776.6,77.26
00000000-0000-0000-0000-000000000003,2025-11-25,247,785.01,76.43
00000000-0000-0000-0000-000000000003,2025-11-26,228,772.84,77.64
00000000-0000-0000-0000-000000000003,2025-11-27,260,769.51,77.97
00000000-0000-0000-0000-000000000003,2025-11-28,258,764.47,78.49
00000000-0000-0000-0000-000000000003,2025-11-29,200,779.18,77.0
00000000-0000-0000-0000-000000000003,2025-11-30,293,767.3,78.2
00000000-0000-0000-0000-000000000003,2025-12-01,274,766.44,78.28
00000000-0000-0000-0000-000000000003,2025-12-02,297,766.9,78.24
00000000-0000-0000-0000-000000000003,2025-12-03,282,771.06,77.81
00000000-0000-0000-0000-000000000003,2025-12-04,208,762.42,78.7
00000000-0000-0000-0000-000000000003,2025-12-05,208,794.96,75.48
00000000-0000-0000-0000-000000000003,2025-12-06,276,778.66,77.06
00000000-0000-0000-0000-000000000003,2025-12-07,202,773.86,77.53
00000000-0000-0000-0000-000000000003,2025-12-08,272,751.28,79.86
00000000-0000-0000-0000-000000000003,2025-12-09,288,782.51,76.68
00000000-0000-0000-0000-000000000003,2025-12-10,265,763.19,78.62
00000000-0000-0000-0000-000000000003,2025-12-11,255,757.43,79.22
00000000-0000-0000-0000-000000000003,2025-12-12,263,764.16,78.52
00000000-0000-0000-0000-000000000003,2025-12-13,237,765.0,78.43
00000000-0000-0000-0000-000000000003,2025-12-14,209,773.44,77.58
00000000-0000-0000-0000-000000000003,2025-12-15,295,773.88,77.53
00000000-0000-0000-0000-000000000003,2025-12-16,293,767.0,78.23
00000000-0000-0000-0000-000000000003,2025-12-17,239,758.37,79.12
00000000-0000-0000-0000-000000000003,2025-12-18,227,772.6,77.66
00000000-0000-0000-0000-000000000003,2025-12-19,221,786.5,76.29
00000000-0000-0000-0000-000000000003,2025-12-20,239,778.0,77.12
00000000-0000-0000-0000-000000000003,2025-12-21,252,791.4,75.81
00000000-0000-0000-0000-000000000003,2025-12-22,273,772.14,77.71
00000000-0000-0000-0000-000000000003,2025-12-23,208,791.95,75.76
00000000-0000-0000-0000-000000000003,2025-12-24,250,762.04,78.74
00000000-0000-0000-0000-000000000003,2025-12-25,273,786.2,76.32
00000000-0000-0000-0000-000000000003,2025-12-26,263,777.55,77.17
00000000-0000-0000-0000-000000000003,2025-12-27,272,766.92,78.24
00000000-0000-0000-0000-000000000003,2025-12-28,262,777.27,77.19
00000000-0000-0000-0000-000000000003,2025-12-29,204,790.67,75.89
00000000-0000-0000-0000-000000000004,2025-09-01,281,819.19,73.24
00000000-0000-0000-0000-000000000004,2025-09-02,295,834.61,71.89
00000000-0000-0000-0000-000000000004,2025-09-03,246,821.72,73.02
00000000-0000-0000-0000-000000000004,2025-09-04,200,840.2,71.41
00000000-0000-0000-0000-000000000004,2025-09-05,228,825.68,72.67
00000000-0000-0000-0000-000000000004,2025-09-06,220,834.47,71.9
00000000-0000-0000-0000-000000000004,2025-09-07,285,836.94,71.69
00000000-0000-0000-0000-000000000004,2025-09-08,281,819.87,73.18
00000000-0000-0000-0000-000000000004,2025-09-09,232,843.07,71.17
00000000-0000-0000-0000-000000000004,2025-09-10,211,835.55,71.81
00000000-0000-0000-0000-000000000004,2025-09-11,299,859.6,69.8
00000000-0000-0000-0000-000000000004,2025-09-12,260,821.57,73.03
00000000-0000-0000-0000-000000000004,2025-09-13,280,837.02,71.68
00000000-0000-0000-0000-000000000004,2025-09-14,215,839.46,71.47
00000000-0000-0000-0000-000000000004,2025-09-15,281,833.41,71.99
00000000-0000-0000-0000-000000000004,2025-09-16,218,849.29,70.65
00000000-0000-0000-0000-000000000004,2025-09-17,265,829.48,72.33
00000000-0000-0000-0000-000000000004,2025-09-18,270,843.9,71.1
00000000-0000-0000-0000-000000000004,2025-09-19,235,825.46,72.69
00000000-0000-0000-0000-000000000004,2025-09-20,278,844.6,71.04
00000000-0000-0000-0000-000000000004,2025-09-21,214,826.59,72.59
00000000-0000-0000-0000-000000000004,2025-09-22,296,851.19,70.49
00000000-0000-0000-0000-000000000004,2025-09-23,232,830.59,72.24
00000000-0000-0000-0000-000000000004,2025-09-24,232,818.79,73.28
00000000-0000-0000-0000-000000000004,2025-09-25,226,817.1,73.43
00000000-0000-0000-0000-000000000004,2025-09-26,249,825.8,72.66
00000000-0000-0000-0000-000000000004,2025-09-27,298,846.86,70.85
00000000-0000-0000-0000-000000000004,2025-09-28,218,811.24,73.96
00000000-0000-0000-0000-000000000004,2025-09-29,268,819.3,73.23
00000000-0000-0000-0000-000000000004,2025-09-30,262,826.17,72.62
00000000-0000-0000-0000-000000000004,2025-10-01,297,838.5,71.56
00000000-0000-0000-0000-000000000004,2025-10-02,294,823.61,72.85
00000000-0000-0000-0000-000000000004,2025-10-03,284,847.15,70.83
00000000-0000-0000-0000-000000000004,2025-10-04,210,838.59,71.55
00000000-0000-0000-0000-000000000004,2025-10-05,294,836.58,71.72
00000000-0000-0000-0000-000000000004,2025-10-06,239,844.91,71.01
00000000-0000-0000-0000-000000000004,2025-10-07,238,833.55,71.98
00000000-0000-0000-0000-000000000004,2025-10-08,217,830.97,72.2
